Customer ID,Order ID,SKU ID,Purchase Date,Quantity,Selling Price,Discount,Coupon Used,Net Order Value,Payment Method
CUST0531,000001,P0237,2023-01-02,1,118.8,20,No,95.04,PayPal
CUST0531,000001,P0222,2023-01-02,5,151.95,25,Yes,569.81,PayPal
CUST0531,000001,P0275,2023-01-02,4,74.9,25,Yes,224.7,PayPal
CUST0160,000002,P0306,2023-01-03,2,40.49,25,No,60.73,Credit Card
CUST0160,000002,P0350,2023-01-03,1,64.21,40,Yes,38.53,Credit Card
CUST0296,000003,P0268,2023-01-04,1,89.99,20,Yes,71.99,Credit Card
CUST0296,000003,P0233,2023-01-04,1,86.07,25,No,64.55,Credit Card
CUST0296,000003,P0269,2023-01-04,2,108.99,5,Yes,207.08,Credit Card
CUST0562,000004,P0131,2023-01-04,1,73.49,15,No,62.47,PayPal
CUST0562,000004,P0460,2023-01-04,2,17.9,0,No,35.8,PayPal
CUST0296,000005,P0236,2023-01-05,3,48.67,20,Yes,116.81,Buy Now Pay Later
CUST0296,000005,P0158,2023-01-05,1,109.99,40,No,65.99,Buy Now Pay Later
CUST0560,000006,P0166,2023-01-05,1,106.95,15,Yes,90.91,Debit Card
CUST0860,000007,P0419,2023-01-05,1,299.67,30,No,209.77,Credit Card
CUST0860,000007,P0207,2023-01-05,2,107.99,0,No,215.98,Credit Card
CUST0860,000007,P0496,2023-01-05,1,20.95,0,No,20.95,Credit Card
CUST0009,000008,P0330,2023-01-06,1,26.49,0,No,26.49,PayPal
CUST0009,000008,P0087,2023-01-06,1,107.9,0,No,107.9,PayPal
CUST0009,000008,P0169,2023-01-06,3,125.49,15,No,320.0,PayPal
CUST0464,000009,P0268,2023-01-06,2,90.72,25,Yes,136.08,Credit Card
CUST0464,000009,P0156,2023-01-06,1,25.99,15,Yes,22.09,Credit Card
CUST0554,000010,P0351,2023-01-07,1,55.37,5,No,52.6,Credit Card
CUST0554,000010,P0398,2023-01-07,1,139.99,5,No,132.99,Credit Card
CUST0060,000011,P0158,2023-01-08,1,109.99,25,Yes,82.49,Credit Card
CUST0060,000011,P0369,2023-01-08,1,318.74,25,No,239.06,Credit Card
CUST0060,000011,P0410,2023-01-08,2,359.67,40,No,431.6,Credit Card
CUST0280,000012,P0409,2023-01-08,1,220.9,30,No,154.63,Credit Card
CUST0674,000013,P0178,2023-01-11,1,87.71,30,No,61.4,Debit Card
CUST0674,000013,P0293,2023-01-11,1,27.95,0,No,27.95,Debit Card
CUST0674,000013,P0362,2023-01-11,1,475.49,25,Yes,356.62,Debit Card
CUST0674,000013,P0209,2023-01-11,1,82.21,0,No,82.21,Debit Card
